,Library,SMILES
0,BIOFACQUIM 2V,c1(C2OCC3C(c4cc5OCOc5cc4)OCC23)cc2OCOc2cc1
1,BIOFACQUIM 2V,[C@H](CCC(C(=C)C)(C)C)(C)[C@@H]1[C@]2(C)[C@](C)(C3[C@](C)([C@]45O[C@H](C(C)(C)C4CC3)CC5)CC2)CC1
2,BIOFACQUIM 2V,S=C=N[C@@]1(C)[C@H]2[C@@](C)(CC[C@@](OO)(C(=C)C)C2)CCC1
3,BIOFACQUIM 2V,S=C=N[C@@]1(C)[C@H]2[C@@](C)(CC[C@@](O)(C(=C)C)C2)CCC1
4,BIOFACQUIM 2V,S(CCC(=O)N)[C@H]1c2c(OC)cccc2-c2c(OC)c(OC)cc3C(=O)ON=C1c23
5,BIOFACQUIM 2V,S(CC(=O)/C=C/c1cc(OC)c(O)cc1)[C@H]1c2c(OC)cccc2-c2c(OC)c(OC)cc3C(=O)ON=C1c23
6,BIOFACQUIM 2V,Oc1cc(O)cc(O)c1
7,BIOFACQUIM 2V,Oc1cc(O)cc(CCc2ccc(O)cc2)c1
8,BIOFACQUIM 2V,Oc1cc(O)cc(CCc2cc(O)ccc2)c1
9,BIOFACQUIM 2V,Oc1cc(O)cc(C)c1
10,BIOFACQUIM 2V,Oc1c2occ(C)c2c(C)c2[C@@H](C)CCCc12
11,BIOFACQUIM 2V,Oc1c2[C@H]3[C@H]4[C@](C)(O4)CC[C@@H]3C(C)(C)Oc2cc(CCCCC)c1
12,BIOFACQUIM 2V,Oc1c2[C@@H]3C(O)=C(C)CC[C@@H]3C(C)(C)Oc2cc(CCCCC)c1
13,BIOFACQUIM 2V,Oc1c(O)ccc2[C@@H]3[C@](O)(COc12)Cc1c3cc(O)c(O)c1
14,BIOFACQUIM 2V,Oc1c(O)cc2c([C@H]3[C@](O)(COc4c3ccc(O)c4)C2)c1
15,BIOFACQUIM 2V,Oc1c(C)ccc([C@@H](CCC2C(C)(C)O2)C)c1
16,BIOFACQUIM 2V,Oc1c(C)ccc([C@@H](CC/C=C(\C)/C)C)c1
17,BIOFACQUIM 2V,Oc1c(C)cc2c(C(C)C)ccc(C)c2c1
18,BIOFACQUIM 2V,Oc1c(C)cc2[C@H](C(C)C)C[C@@H]3[C@](O)(c2c1)Cc1c2c(C)ccc(C(C)C)c2cc(C)c1O3
19,BIOFACQUIM 2V,Oc1c(C)cc2[C@@H](C(C)C)CCC(C)c2c1
20,BIOFACQUIM 2V,Oc1c(C)cc([C@@H](CC/C=C(\C)/C)C)cc1
21,BIOFACQUIM 2V,Oc1c(C(C)C)ccc(C)c1
22,BIOFACQUIM 2V,O[C@]12[C@]3(C)[C@H](C(C)(C)C3)CC[C@](C)(C(O)CC1)C2
23,BIOFACQUIM 2V,O[C@]1(C)[C@H]2[C@H]([C@H](C(C)C)CC1)C=C(C)CC2
24,BIOFACQUIM 2V,O[C@H]1[C@@]2(c3ccc(O)cc3)Oc3c(c(O)cc(O)c3)[C@@H]1c1c3O[C@@H]([C@@H](O)Cc3c(O)cc1O2)c1cc(O)c(O)cc1
25,BIOFACQUIM 2V,O[C@H]1[C@@](O)(C)[C@H]2[C@@H]([C@@]3(C)OO[C@@H]2C3)C[C@@H](C(C)C)C1
26,BIOFACQUIM 2V,O[C@H]1[C@@H](O)[C@](O)(C)C=C[C@@H]1C(C)C
27,BIOFACQUIM 2V,O[C@H]1[C@@H](O)[C@@](O)(C)C=C[C@@H]1C(C)C
28,BIOFACQUIM 2V,O[C@H]1C(C)=C[C@@H]2[C@@H](C(C)(C)Oc3c2c(O)cc(CCCCC)c3)C1
29,BIOFACQUIM 2V,O[C@H]1C(=C)CC[C@@H]2C(C)(C)Oc3c(c(O)cc(CCCCC)c3)[C@@H]12
30,BIOFACQUIM 2V,O[C@H](C#CC#C[C@H](O)C=C)/C=C\CCCCCCC
31,BIOFACQUIM 2V,O[C@@]12c3c(OC1O[C@]1([C@@H](C)Oc4c1ccc(C)c4)CC2)cc(C)cc3
32,BIOFACQUIM 2V,O[C@@H]1[C@]2(C(=C)C)O[C@@H]2[C@]2(C)[C@@H](C)[C@H](O)CCC2=C1
