,Library,SMILES,HBA,HBD,RB,LOGP,TPSA,MW
0,BIOFACQUIM 2V,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,6,0,2,3.2192000000000016,55.38000000000001,354.35800000000006
1,BIOFACQUIM 2V,C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H]5CC[C@]4(O5)[C@]3(C)CC[C@]12C,1,0,5,9.211500000000001,9.23,454.78300000000047
2,BIOFACQUIM 2V,C=C(C)[C@]1(OO)CC[C@@]2(C)CCC[C@@](C)(N=C=S)[C@@H]2C1,4,1,3,4.642700000000004,41.82,295.44800000000004
3,BIOFACQUIM 2V,C=C(C)[C@]1(O)CC[C@@]2(C)CCC[C@@](C)(N=C=S)[C@@H]2C1,3,1,2,4.145400000000003,32.59,279.449
4,BIOFACQUIM 2V,COc1cc2c(=O)onc3c2c(c1OC)-c1cccc(OC)c1[C@@H]3SCCC(N)=O,8,1,7,2.8922000000000017,113.88000000000002,428.46600000000024
5,BIOFACQUIM 2V,COc1cc(/C=C/C(=O)CS[C@H]2c3c(OC)cccc3-c3c(OC)c(OC)cc4c(=O)onc2c34)ccc1O,10,1,9,5.013500000000004,117.32000000000002,547.5850000000003
6,BIOFACQUIM 2V,Oc1cc(O)cc(O)c1,3,3,0,0.8033999999999999,60.69,126.11099999999996
7,BIOFACQUIM 2V,Oc1ccc(CCc2cc(O)cc(O)c2)cc1,3,3,3,2.5886000000000005,60.69,230.263
8,BIOFACQUIM 2V,Oc1cccc(CCc2cc(O)cc(O)c2)c1,3,3,3,2.5886000000000005,60.69,230.263
9,BIOFACQUIM 2V,Cc1cc(O)cc(O)c1,2,2,0,1.4062199999999998,40.46,124.13899999999997
10,BIOFACQUIM 2V,Cc1coc2c(O)c3c(c(C)c12)[C@@H](C)CCC3,2,1,0,4.195040000000003,33.370000000000005,230.30699999999993
11,BIOFACQUIM 2V,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC[C@@]3(C)O[C@H]3[C@H]21,3,1,4,4.9470000000000045,41.989999999999995,330.46800000000013
12,BIOFACQUIM 2V,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(C)=C(O)[C@@H]21,3,2,4,5.6215000000000055,49.69,330.46800000000013
13,BIOFACQUIM 2V,Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,6,5,0,1.3204999999999996,110.38000000000001,302.282
14,BIOFACQUIM 2V,Oc1ccc2c(c1)OC[C@]1(O)Cc3cc(O)c(O)cc3[C@H]21,5,4,0,1.6148999999999996,90.15,286.283
15,BIOFACQUIM 2V,Cc1ccc([C@H](C)CCC2OC2(C)C)cc1O,2,1,4,3.761720000000002,32.76,234.33899999999994
16,BIOFACQUIM 2V,CC(C)=CCC[C@@H](C)c1ccc(C)c(O)c1,1,1,4,4.550520000000004,20.23,218.33999999999995
17,BIOFACQUIM 2V,Cc1cc2c(C(C)C)ccc(C)c2cc1O,1,1,1,4.2856400000000034,20.23,214.30799999999996
18,BIOFACQUIM 2V,Cc1cc2c(cc1O)[C@]1(O)Cc3c(c(C)cc4c(C(C)C)ccc(C)c34)O[C@@H]1C[C@H]2C(C)C,3,2,2,6.928660000000007,49.69,444.61500000000024
19,BIOFACQUIM 2V,Cc1cc2c(cc1O)C(C)CC[C@@H]2C(C)C,1,1,1,4.337520000000004,20.23,218.33999999999995
20,BIOFACQUIM 2V,CC(C)=CCC[C@@H](C)c1ccc(O)c(C)c1,1,1,4,4.550520000000004,20.23,218.33999999999997
21,BIOFACQUIM 2V,Cc1ccc(C(C)C)c(O)c1,1,1,1,2.824020000000001,20.23,150.22099999999998
22,BIOFACQUIM 2V,CC1(C)C[C@@]2(C)[C@H]1CC[C@@]1(C)C[C@]2(O)CCC1O,2,2,0,3.1148000000000016,40.46,252.3979999999999
23,BIOFACQUIM 2V,CC1=C[C@H]2[C@H](C(C)C)CC[C@](C)(O)[C@@H]2CC1,1,1,1,3.7759000000000027,20.23,222.37199999999993
24,BIOFACQUIM 2V,Oc1ccc([C@]23Oc4cc(O)cc(O)c4[C@H](c4c(cc(O)c5c4O[C@H](c4ccc(O)c(O)c4)[C@@H](O)C5)O2)[C@H]3O)cc1,11,8,2,3.0879000000000003,189.52999999999997,560.5110000000003
25,BIOFACQUIM 2V,CC(C)[C@@H]1C[C@H]2[C@@H]([C@H]3C[C@]2(C)OO3)[C@@](C)(O)[C@H](O)C1,4,2,1,1.8895,58.92,270.36899999999997
26,BIOFACQUIM 2V,CC(C)[C@H]1C=C[C@](C)(O)[C@H](O)[C@@H]1O,3,3,1,0.3011999999999997,60.69,186.251
27,BIOFACQUIM 2V,CC(C)[C@H]1C=C[C@@](C)(O)[C@H](O)[C@@H]1O,3,3,1,0.3011999999999997,60.69,186.251
28,BIOFACQUIM 2V,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1C[C@@H](O)C(C)=C[C@@H]21,3,2,4,4.706600000000004,49.69,330.46800000000013
29,BIOFACQUIM 2V,C=C1CC[C@H]2[C@@H](c3c(O)cc(CCCCC)cc3OC2(C)C)[C@H]1O,3,2,4,4.706600000000004,49.69,330.46800000000013
30,BIOFACQUIM 2V,C=C[C@@H](O)C#CC#C[C@@H](O)/C=C\CCCCCCC,2,2,8,2.817700000000001,40.46,260.3769999999999
31,BIOFACQUIM 2V,Cc1ccc2c(c1)OC1O[C@]3(CC[C@]21O)c1ccc(C)cc1O[C@@H]3C,4,1,0,3.696340000000003,47.92,338.4030000000001
32,BIOFACQUIM 2V,C=C(C)[C@@]12O[C@@H]1[C@@]1(C)C(=C[C@@H]2O)CC[C@@H](O)[C@@H]1C,3,2,1,1.7981,52.989999999999995,250.33799999999997
33,BIOFACQUIM 2V,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC[C@](C)(O)[C@@H](O)[C@@H]21,4,3,4,3.9014000000000033,69.92,348.4830000000002
34,BIOFACQUIM 2V,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC[C@](C)(O)[C@@H](O)[C@H]21,4,3,4,3.9014000000000033,69.92,348.4830000000002
35,BIOFACQUIM 2V,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,6,5,1,1.5460999999999996,110.38000000000001,290.271
36,BIOFACQUIM 2V,C=C1C[C@H](O)[C@@]23[C@H]1C[C@@H](CC[C@H]2C)C3(C)C,1,1,0,3.3858000000000024,20.23,220.35599999999997
37,BIOFACQUIM 2V,Oc1ccc([C@H]2Oc3c(c(O)cc4c3[C@H]3c5c(O)cc6c(c5O[C@@](c5ccc(O)cc5)(O4)[C@H]3O)[C@H]3c4c(O)cc(O)cc4O[C@@](c4ccc(O)cc4)(O6)[C@@H]3O)C[C@@H]2O)cc1,15,10,3,4.924100000000011,248.44999999999993,814.7520000000002
38,BIOFACQUIM 2V,Cc1ccc2c(c1)O[C@H](O)[C@]21CC[C@@]2(O)c3cccc(C)c3O[C@H]2O1,5,2,0,2.626240000000001,68.15,340.37500000000006
39,BIOFACQUIM 2V,C=CC1=C(C)[C@@H]2O[C@@H](O)C[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,2,1,1,4.838800000000004,29.46,304.4740000000001
40,BIOFACQUIM 2V,Cc1cccc(C)c1[C@H]1CC2[C@@H]3C[C@]4(C)OC5(CCC(C)CC5)[C@@H](C)[C@@H]4[C@@]3(C)CC[C@]2(C)[C@@]2(C)CC[C@H](O)C[C@H]12,2,1,1,9.390640000000001,29.46,546.8800000000003
41,BIOFACQUIM 2V,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,1,4,7.330800000000009,20.23,396.6590000000003
42,BIOFACQUIM 2V,C=C(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,1,1,5,8.414900000000006,20.23,440.7560000000004
43,BIOFACQUIM 2V,CC[C@H](CCC(C)C1CCC2C3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C)C(C)C,1,1,6,8.660900000000005,20.23,442.77200000000045
44,BIOFACQUIM 2V,C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,1,1,5,8.805000000000005,20.23,454.78300000000047
45,BIOFACQUIM 2V,C=C(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C,1,1,5,8.581000000000007,20.23,440.7560000000004
46,BIOFACQUIM 2V,C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C,1,1,5,8.971100000000003,20.23,454.78300000000047
47,BIOFACQUIM 2V,C[C@@H]1C2C3=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)CC[C@H]1C,1,1,0,8.02480000000001,20.23,426.72900000000044
48,BIOFACQUIM 2V,C[C@H](O)[C@H](O)C[C@H]1OCc2c(O)cccc21,4,3,3,1.0953,69.92,224.256
49,BIOFACQUIM 2V,C[C@@H]1CC[C@H]2[C@@H]1C1[C@@H](CC[C@]2(C)O)[C@@]1(C)CO,2,2,1,2.4381000000000004,40.46,238.37099999999992
50,BIOFACQUIM 2V,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(CO)CC[C@H]1C,2,2,1,6.997200000000009,40.46,442.72800000000035
51,BIOFACQUIM 2V,OCCc1ccc(O)cc1,2,2,2,0.927,40.46,138.16599999999997
52,BIOFACQUIM 2V,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,6,5,3,-3.2620999999999993,104.39000000000001,207.226
53,BIOFACQUIM 2V,C=CC1=C(CO)[C@@H]2O[C@@H](O)C[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,3,2,2,3.811200000000002,49.69,320.473
54,BIOFACQUIM 2V,CCC(C=CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C,1,1,5,7.8008000000000095,20.23,412.7020000000004
55,BIOFACQUIM 2V,OC1C(O)C(O)C(O)C(O)C1O,6,6,0,-3.8346000000000005,121.38000000000001,180.156
56,BIOFACQUIM 2V,CC1=CCC(C(C)C)C2CC(C)=C(O)C=C12,1,1,1,4.386900000000004,20.23,218.33999999999995
57,BIOFACQUIM 2V,CC1(C)[C-2]CCC(C)(O)C(O)CCC(C)(O)CC1,3,3,0,2.3109900000000003,60.69,256.38599999999997
58,BIOFACQUIM 2V,C/C1=C\CC/C(CO)=C/C[C@@H]2CC[C@](C)(O)[C@@H](CC1)C2(C)C,2,2,1,4.6189000000000044,40.46,306.49000000000007
59,BIOFACQUIM 2V,Cc1ccc([C@H](C)CCC(O)C(C)(C)O)cc1O,3,3,5,2.716120000000001,60.69,252.354
60,BIOFACQUIM 2V,O=Cc1ccc(O)cc1,2,1,1,1.2047,37.3,122.12299999999996
61,BIOFACQUIM 2V,C=C(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H](OC=O)CC[C@@]45C[C@@]35CC[C@]12C,2,0,7,8.595600000000006,26.3,468.76600000000053
62,BIOFACQUIM 2V,Cc1coc2c1[C@@](C)(O)C1=C(CCC[C@@H]1C)C2=O,3,1,0,3.1084200000000015,50.44,246.30599999999995
63,BIOFACQUIM 2V,Cc1coc2c1[C@](C)(O)C1=C(CCC[C@@H]1C)C2=O,3,1,0,3.1084200000000015,50.44,246.30599999999995
64,BIOFACQUIM 2V,O=C1CC=Cc2cc3ccccc3cc21,1,0,0,3.439400000000002,17.07,194.23299999999998
65,BIOFACQUIM 2V,O=C1CC(c2ccccc2)Oc2cc(O)ccc21,3,1,1,3.098700000000002,46.53,240.25799999999998
66,BIOFACQUIM 2V,O=C1CCC2(Oc3cccc4cccc(c34)O2)c2cccc(O)c21,4,1,0,4.146100000000002,55.760000000000005,318.3280000000001
67,BIOFACQUIM 2V,Cc1cc(O)c2c(c1)C(=O)c1c(O)cccc1C2=O,4,2,0,2.1816199999999997,74.6,254.24099999999996
68,BIOFACQUIM 2V,O=C1CCC2(Oc3cccc4cccc(c34)O2)c2c(O)ccc(O)c21,5,2,0,3.851700000000002,75.99000000000001,334.3270000000001
69,BIOFACQUIM 2V,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,4,2,1,2.8043000000000005,66.76,256.257
70,BIOFACQUIM 2V,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,4,2,1,2.871200000000001,70.67,254.24099999999999
71,BIOFACQUIM 2V,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5,3,1,2.5768000000000004,90.9,270.23999999999995
72,BIOFACQUIM 2V,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,5,3,0,1.8872199999999997,94.83,270.23999999999995
73,BIOFACQUIM 2V,CC(C)=CCc1c2c(c(O)c3c1OC(c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,5,2,3,5.497200000000006,75.99000000000001,406.4780000000002
74,BIOFACQUIM 2V,O=C1CC(c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)Oc2cc(O)cc(O)c21,10,6,3,5.067100000000007,177.89,540.4800000000001
75,BIOFACQUIM 2V,C=C1OC(=O)[C@@]2([C@@H]1O)[C@H](C)CCC(=O)[C@@H]2O,5,2,0,-0.23590000000000044,83.83000000000001,226.22799999999995
76,BIOFACQUIM 2V,C=C1OC(=O)[C@]2([C@H](C)C=CC(=O)[C@@H]2O)[C@H]1O,5,2,0,-0.4599000000000002,83.83000000000001,224.212
77,BIOFACQUIM 2V,CC(C)c1c(O)c(O)c2c(c1O)C(=O)C[C@@H]1[C@]3(CCC[C@]1(C)C(=O)O3)C2,6,3,1,3.157700000000001,104.06,360.40600000000023
78,BIOFACQUIM 2V,CC(C)C1=C(O)C(=O)C2=C(C=C[C@@H]3[C@]4(CCC[C@]3(C)C(=O)O4)C2)C1=O,5,1,1,2.964800000000001,80.67000000000002,342.39100000000013
79,BIOFACQUIM 2V,CC(C)C1=C(O)C(=O)C2=C(C=C3OC(=O)[C@@]4(C)CC[C@@H](O)C(=C2)[C@@H]34)C1=O,6,2,1,2.0608,100.89999999999999,356.37400000000014
80,BIOFACQUIM 2V,CC(C)C1=C(O)C(=O)C2=C(C1=O)[C@H](O)[C@@H]1OC(=O)[C@@]3(C)CC[C@@H](O)C(=C2)[C@@H]13,7,3,1,0.9063999999999994,121.13,374.3890000000001
81,BIOFACQUIM 2V,CC(C)C1=C(O)C(=O)C2=C(C1=O)[C@H](O)[C@@H]1OC(=O)[C@@]3(C)CC=CC(=C2)[C@@H]13,6,2,1,1.7116,100.89999999999999,356.3740000000001
82,BIOFACQUIM 2V,CC(C)C1=C(O)C(=O)C2=C(C[C@@H]3OC(=O)[C@@]4(C)CCC=C(C2)[C@@H]34)C1=O,5,1,1,2.964800000000001,80.67000000000002,342.39100000000013
83,BIOFACQUIM 2V,CC(C)C1=C(O)C(=O)C2=CC3=CCC[C@]4(C)C(=O)O[C@@H](C=C2C1=O)[C@H]34,5,1,1,2.740800000000001,80.67000000000002,340.3750000000001
84,BIOFACQUIM 2V,CC1(C)C=Cc2c(ccc3c2NC(=O)[C@@]32C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@H]4C2(C)C)O1,4,2,0,2.7403000000000004,87.74000000000001,447.5350000000002
85,BIOFACQUIM 2V,CC1=C[C@@](O)(C(C)C)C(=O)c2cc(C)c(O)cc21,3,2,1,2.6873200000000006,57.53,246.30599999999998
86,BIOFACQUIM 2V,O=C1c2cc3ccoc3cc2O[C@H]2COc3cc4c(cc3[C@@H]12)OCO4,6,0,0,3.2814000000000014,67.13000000000001,336.2990000000001
87,BIOFACQUIM 2V,CC1(C)C=Cc2cc([C@@H]3COc4cc5c(c(O)c4C3=O)C=CC(C)(C)O5)c(O)cc2O1,6,2,1,4.8251000000000035,85.22000000000001,420.4610000000002
88,BIOFACQUIM 2V,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)[C@@H](O)C3=O)C=CC(C)(C)O2,6,3,3,4.4680000000000035,96.22000000000001,422.4770000000002
89,BIOFACQUIM 2V,CCC[C@H]1OC(=O)[C@H](O)CC/C=C/[C@H](O)[C@@H]1O,5,3,2,0.13099999999999956,86.99000000000001,244.28699999999998
90,BIOFACQUIM 2V,O=C1c2c(O)cc(O)cc2OC(c2ccccc2)[C@H]1O,5,3,1,1.7750999999999997,86.99000000000001,272.256
91,BIOFACQUIM 2V,C=CC(C)(C)[C@]12Nc3c(O)cccc3[C@@]1(O)C[C@H]1C(=O)O[C@@H](Cc3ccccc3)C(=O)N12,6,3,4,2.6828000000000003,99.10000000000001,434.49200000000013
92,BIOFACQUIM 2V,C=CC(C)(C)[C@]12Nc3ccccc3[C@@]1(O)C[C@H]1C(=O)O[C@@H](Cc3ccccc3)C(=O)N12,5,2,4,2.9772000000000007,78.87,418.4930000000001
